id,title_clean,title_raw,company_name,naics_2022_6,naics_2022_6_name,soc_5,soc_5_name,min_years_experience,max_years_experience,min_edulevels_name,max_edulevels_name,employment_type_name,remote_type_name,salary,salary_from,salary_to,original_pay_period,city_name,state_name,county_name,msa_name,skills_name,specialized_skills_name,software_skills_name,posted,expired,duration
84156,Adversary Force Military Analyst,Adversary Force (ADFOR) Military Analyst,Corps Solutions,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,,,Associate's degree,Master's degree,Full Time,Unknown,,,,,Virginia,United States,,,"[""Aviation""]","[""Aviation""]",[],2026-06-04,,
84071,Vulnerability Management Analyst,Vulnerability Management Analyst,American Eagle Financial Credit Union,611400,Business Schools and Computer and Management Training,15-1212,Information Security Analysts,,,High school diploma or equivalent,Bachelor's degree,Full Time,Hybrid,USD 120000 per YEAR,120000.00,120000.00,annual,Connecticut,United States,,,"[""Automation""]","[""Automation""]",[],2026-06-04,,
82925,Assistant Behavior Analyst Intern BTTC,Assistant Behavior Analyst Intern BTTC,Texana Center,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,High school diploma or equivalent,Associate's degree,"Contract, Internship",Unknown,USD 18 per HOUR,18.00,18.00,hourly,Texas,United States,,,"[""Accruals"", ""Applied Behavior Analysis"", ""Board Certified Behavior Analyst (BCBA)""]","[""Accruals"", ""Applied Behavior Analysis""]",[],2026-06-04,,
82634,"VP, Systems & Reports Analyst","VP, Systems & Reports Analyst",Poppy Bank,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,,,Postsecondary nondegree award,Bachelor's degree,Full Time,Unknown,USD 100000 - 130000 per YEAR,100000.00,130000.00,annual,California,United States,,,"[""Banking"", ""Business Requirements""]","[""Banking"", ""Business Requirements""]",[],2026-06-04,,
79207,"Web & SharePoint Analyst || || - Columbus, OH.","Web & SharePoint Analyst || Contract || Hybrid- Columbus, OH.",Info Origin Inc.,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Bachelor's degree,Bachelor's degree,Contract,Hybrid,USD 50 - 60 per HOUR,50.00,60.00,hourly,Ohio,United States,,,"[""Business Requirements""]","[""Business Requirements""]",[],2026-06-04,,
78533,Technical Analyst,Technical Analyst,ESG,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,Associate's degree,Bachelor's degree,Full Time,Unknown,,,,,Texas,United States,,,"[""Business Requirements""]","[""Business Requirements""]",[],2026-06-04,,
156962,"Business Analyst, Sr.- Marketing","Business Analyst, Sr.- Marketing",Arthrex,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,,,High school diploma or equivalent,Bachelor's degree,Full Time,On-site,,,,,Florida,United States,,,"[""Asset Management"", ""Business Analysis"", ""Business Requirements"", ""Cancer""]","[""Asset Management"", ""Business Analysis"", ""Business Requirements"", ""Cancer""]",[],2026-06-05,,
157519,SENIOR MANAGEMENT ANALYST SUPV - SES - 60060085,SENIOR MANAGEMENT ANALYST SUPV - SES - 60060085,Florida Department Of Agriculture And Consumer Services,611400,Business Schools and Computer and Management Training,19-1041,Epidemiologists,,,Associate's degree,Master's degree,Full Time,Unknown,USD 60000 - 85000 per YEAR,60000.00,85000.00,annual,Florida,United States,,,"[""Adult Protective Services"", ""Behavioral Health""]","[""Adult Protective Services"", ""Behavioral Health""]",[],2026-06-05,2026-06-12,7
157867,Document Control Analyst I,Document Control Analyst I,Invenergy,611400,Business Schools and Computer and Management Training,27-2011,Actors,,,Associate's degree,Bachelor's degree,Full Time,Unknown,USD 26.12 - 30.96 per HOUR,26.12,30.96,hourly,Illinois,United States,,,,,,2026-06-05,,
158506,"Sr. Analyst, Scheduling","Sr. Analyst, Scheduling",RTX,611400,Business Schools and Computer and Management Training,27-2011,Actors,,,Associate's degree,Master's degree,Full Time,Hybrid,USD 68900 - 131100 per YEAR,68900.00,131100.00,annual,Massachusetts,United States,,,"[""Accountability"", ""Adjudication"", ""Avionics"", ""Bargaining""]","[""Adjudication"", ""Avionics"", ""Bargaining""]",[],2026-06-05,2026-06-26,21
