id,title_clean,title_raw,company_name,naics_2022_6,naics_2022_6_name,soc_5,soc_5_name,min_edulevels_name,max_edulevels_name,employment_type_name,remote_type_name,salary,salary_from,salary_to,original_pay_period,city_name,state_name,skills_name,specialized_skills_name,software_skills_name,posted,expired,pay_period_parsed,salary_from_annual,salary_to_annual,salary_midpoint,skills_list,specialized_skills_list,software_skills_list,expired_date,state_name_clean
84156,Adversary Force Military Analyst,Adversary Force (ADFOR) Military Analyst,Corps Solutions,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Associate's degree,Master's degree,Full Time,Unknown,,,,,Virginia,United States,"[""Aviation""]","[""Aviation""]",[],2026-06-04,,,,,,['Aviation'],['Aviation'],[],,
84071,Vulnerability Management Analyst,Vulnerability Management Analyst,American Eagle Financial Credit Union,611400,Business Schools and Computer and Management Training,15-1212,Information Security Analysts,High school diploma or equivalent,Bachelor's degree,Full Time,Hybrid,USD 120000 per YEAR,120000.0,120000.0,annual,Connecticut,United States,"[""Automation""]","[""Automation""]",[],2026-06-04,,YEAR,120000.0,120000.0,120000.0,['Automation'],['Automation'],[],,
82925,Assistant Behavior Analyst Intern BTTC,Assistant Behavior Analyst Intern BTTC,Texana Center,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,High school diploma or equivalent,Associate's degree,"Contract, Internship",Unknown,USD 18 per HOUR,18.0,18.0,hourly,Texas,United States,"[""Accruals"", ""Applied Behavior Analysis"", ""Board Certified Behavior Analyst (BCBA)""]","[""Accruals"", ""Applied Behavior Analysis""]",[],2026-06-04,,HOUR,37440.0,37440.0,37440.0,"['Accruals', 'Applied Behavior Analysis', 'Board Certified Behavior Analyst (BCBA)']","['Accruals', 'Applied Behavior Analysis']",[],,
82634,"VP, Systems & Reports Analyst","VP, Systems & Reports Analyst",Poppy Bank,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Postsecondary nondegree award,Bachelor's degree,Full Time,Unknown,USD 100000 - 130000 per YEAR,100000.0,130000.0,annual,California,United States,"[""Banking"", ""Business Requirements""]","[""Banking"", ""Business Requirements""]",[],2026-06-04,,YEAR,100000.0,130000.0,115000.0,"['Banking', 'Business Requirements']","['Banking', 'Business Requirements']",[],,
79207,"Web & SharePoint Analyst || || - Columbus, OH.","Web & SharePoint Analyst || Contract || Hybrid- Columbus, OH.",Info Origin Inc.,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Bachelor's degree,Bachelor's degree,Contract,Hybrid,USD 50 - 60 per HOUR,50.0,60.0,hourly,Ohio,United States,"[""Business Requirements""]","[""Business Requirements""]",[],2026-06-04,,HOUR,104000.0,124800.0,114400.0,['Business Requirements'],['Business Requirements'],[],,
78533,Technical Analyst,Technical Analyst,ESG,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Bachelor's degree,Full Time,Unknown,,,,,Texas,United States,"[""Business Requirements""]","[""Business Requirements""]",[],2026-06-04,,,,,,['Business Requirements'],['Business Requirements'],[],,
156962,"Business Analyst, Sr.- Marketing","Business Analyst, Sr.- Marketing",Arthrex,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,High school diploma or equivalent,Bachelor's degree,Full Time,On-site,,,,,Florida,United States,"[""Asset Management"", ""Business Analysis"", ""Business Requirements"", ""Cancer""]","[""Asset Management"", ""Business Analysis"", ""Business Requirements"", ""Cancer""]",[],2026-06-05,,,,,,"['Asset Management', 'Business Analysis', 'Business Requirements', 'Cancer']","['Asset Management', 'Business Analysis', 'Business Requirements', 'Cancer']",[],,
157867,Document Control Analyst I,Document Control Analyst I,Invenergy,611400,Business Schools and Computer and Management Training,27-2011,Actors,Associate's degree,Bachelor's degree,Full Time,Unknown,USD 26.12 - 30.96 per HOUR,26.12,30.96,hourly,Illinois,United States,,,,2026-06-05,,HOUR,54329.6,64396.8,59363.2,[],[],[],,
159111,Analyst/Consultant - AfterSales,Analyst/Consultant - AfterSales,Urban Science,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Postsecondary nondegree award,Master's degree,Contract,Hybrid,,,,,Texas,United States,"[""Advanced Analytics"", ""Analytical Thinking"", ""Analytics"", ""Applied Science""]","[""Advanced Analytics"", ""Analytics"", ""Applied Science""]",[],2026-06-05,2027-06-05,,,,,"['Advanced Analytics', 'Analytical Thinking', 'Analytics', 'Applied Science']","['Advanced Analytics', 'Analytics', 'Applied Science']",[],2027-06-05,
171858,Financial Analyst - Settlements & Energy Analysis,Financial Analyst - Settlements & Energy Analysis,City Utilities Of Springfield,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Postsecondary nondegree award,Master's degree,Contract,Unknown,USD 1618.87 - 2023.6 per WEEK,1618.87,2023.6,weekly,Missouri,United States,"[""Accounting"", ""Accounting Software"", ""Accounting Systems"", ""Analytical Skills"", ""Artificial Intelligence"", ""Bidding"", ""Billing"", ""Broadband"", ""Budgeting""]","[""Accounting"", ""Accounting Software"", ""Accounting Systems"", ""Artificial Intelligence"", ""Bidding"", ""Billing"", ""Broadband""]",[],2026-06-05,,WEEK,84181.23999999999,105227.2,94704.22,"['Accounting', 'Accounting Software', 'Accounting Systems', 'Analytical Skills', 'Artificial Intelligence', 'Bidding', 'Billing', 'Broadband', 'Budgeting']","['Accounting', 'Accounting Software', 'Accounting Systems', 'Artificial Intelligence', 'Bidding', 'Billing', 'Broadband']",[],,
177247,Legal Analyst - Labor & Employment,Legal Analyst - Labor & Employment,Dick's Sporting Goods,611400,Business Schools and Computer and Management Training,27-2011,Actors,Postsecondary nondegree award,Bachelor's degree,Full Time,Unknown,USD 67100 - 109000 per YEAR,67100.0,109000.0,annual,New York,United States,"[""Billing"", ""Case Management""]","[""Billing"", ""Case Management""]",[],2026-06-05,,YEAR,67100.0,109000.0,88050.0,"['Billing', 'Case Management']","['Billing', 'Case Management']",[],,
196135,Business Intelligence Analyst,Business Intelligence Analyst,Cummins Talent Acquisition,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Bachelor's degree,Full Time,On-site,,,,,MI,United States,"[""Action Oriented"", ""Ad Hoc Analysis"", ""Analytics"", ""Business Decisions"", ""Business Intelligence""]","[""Ad Hoc Analysis"", ""Analytics"", ""Business Decisions"", ""Business Intelligence""]",[],2026-06-05,,,,,,"['Action Oriented', 'Ad Hoc Analysis', 'Analytics', 'Business Decisions', 'Business Intelligence']","['Ad Hoc Analysis', 'Analytics', 'Business Decisions', 'Business Intelligence']",[],,
200256,Marketing Research & Analytics Intern,Marketing Research & Analytics Intern,USF University of South Florida,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,Internship,On-site,,,,,FL,United States,"[""Analytics"", ""Audience Analysis"", ""Business Analytics""]","[""Analytics"", ""Audience Analysis"", ""Business Analytics""]",[],2026-06-05,,,,,,"['Analytics', 'Audience Analysis', 'Business Analytics']","['Analytics', 'Audience Analysis', 'Business Analytics']",[],,
215706,Associate Data Science Analyst - Lutgens Lab,Associate Data Science Analyst - Lutgens Lab - Temporary part time,Mayo Career Site US,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Bachelor's degree,"Part Time, Temporary",Unknown,,,,,MN,United States,"[""Analytical Procedures"", ""Analytical Skills"", ""Analytics"", ""Business Problems""]","[""Analytical Procedures"", ""Analytics"", ""Business Problems""]",[],2026-06-05,,,,,,"['Analytical Procedures', 'Analytical Skills', 'Analytics', 'Business Problems']","['Analytical Procedures', 'Analytics', 'Business Problems']",[],,
216139,Senior Data Visualization and Augmented Analytics Engineer,Senior Data Visualization and Augmented Analytics Engineer,Navy Federal Credit Union,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Postsecondary nondegree award,Master's degree,Full Time,Unknown,,,,,VA,United States,"[""Analytics"", ""Automation"", ""Azure Data Lake"", ""Banking"", ""Big Data"", ""Big Data Analytics"", ""Business Decisions""]","[""Analytics"", ""Automation"", ""Azure Data Lake"", ""Banking"", ""Big Data"", ""Big Data Analytics"", ""Business Decisions""]",[],2026-06-05,,,,,,"['Analytics', 'Automation', 'Azure Data Lake', 'Banking', 'Big Data', 'Big Data Analytics', 'Business Decisions']","['Analytics', 'Automation', 'Azure Data Lake', 'Banking', 'Big Data', 'Big Data Analytics', 'Business Decisions']",[],,
216288,Senior Data Scientist - Full Stack,Senior Data Scientist - Full Stack,WM,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,High school diploma or equivalent,Bachelor's degree,Full Time,Hybrid,,,,,TX,United States,"[""Analytical Skills"", ""Analytics"", ""Applied Mathematics"", ""Business Operations""]","[""Analytics"", ""Applied Mathematics"", ""Business Operations""]",[],2026-06-05,,,,,,"['Analytical Skills', 'Analytics', 'Applied Mathematics', 'Business Operations']","['Analytics', 'Applied Mathematics', 'Business Operations']",[],,
402970,Sponsored Research Business Analyst,Sponsored Research Business Analyst,University Of Illinois,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Urbana,Illinois,"[""Billing"", ""Business Operations"", ""Business Systems""]","[""Billing"", ""Business Operations"", ""Business Systems""]",[],2026-06-05,,,,,,"['Billing', 'Business Operations', 'Business Systems']","['Billing', 'Business Operations', 'Business Systems']",[],,Illinois
404786,Sr. Analyst Supply Chain Control Tower,Sr. Analyst Supply Chain Control Tower,Jobs.advanceautoparts.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Raleigh,North Carolina,"[""Analytics"", ""Business Continuity""]","[""Analytics"", ""Business Continuity""]",[],2026-06-05,,,,,,"['Analytics', 'Business Continuity']","['Analytics', 'Business Continuity']",[],,North Carolina
404942,"Structured Trust and Analytics , Senior Associate","Structured Trust and Analytics (CLO Team), Senior Associate",Careers.statestreet.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Boston,Massachusetts,"[""Analytics""]","[""Analytics""]",[],2026-06-05,,,,,,['Analytics'],['Analytics'],[],,Massachusetts
405059,Card Fraud Data Scientist II,Card Fraud Data Scientist II,Careers.truist.com,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Atlanta,Georgia,"[""Analytics""]","[""Analytics""]",[],2026-06-05,,,,,,['Analytics'],['Analytics'],[],,Georgia
405910,Lead Operations Research Analyst - TS/SCI - CI Poly,Lead Operations Research Analyst - TS/SCI - CI Poly,Globaldllc,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Bachelor's degree,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Washington,District of Columbia,"[""Analytical Techniques""]","[""Analytical Techniques""]",[],2026-06-05,,,,,,['Analytical Techniques'],['Analytical Techniques'],[],,District of Columbia
406124,Operations Research Analyst - TS/SCI,Operations Research Analyst - TS/SCI,Globaldllc,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Bachelor's degree,Bachelor's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Washington,District of Columbia,"[""Analytical Techniques""]","[""Analytical Techniques""]",[],2026-06-05,,,,,,['Analytical Techniques'],['Analytical Techniques'],[],,District of Columbia
402718,Program Control Analyst Senior,Program Control Analyst Senior,Jobs.baesystems.com,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Associate's degree,Associate's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,Boulder,Colorado,,,,2026-06-05,,,,,,[],[],[],,Colorado
74544,IT Field Support Analyst,IT Field Support Analyst,Diocese Of Austin,611400,Business Schools and Computer and Management Training,21-2011,Clergy,High school diploma or equivalent,Associate's degree,Full Time,Remote,,,,,Texas,United States,"[""Audiovisual Equipment"", ""Business Software""]","[""Audiovisual Equipment"", ""Business Software""]",[],2026-06-05,,,,,,"['Audiovisual Equipment', 'Business Software']","['Audiovisual Equipment', 'Business Software']",[],,
74480,Operations Analyst,Operations Analyst,National Airlines,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,High school diploma or equivalent,Associate's degree,Full Time,Unknown,,,,,Florida,United States,"[""Accounting"", ""Administrative Support"", ""Analytics"", ""Archives"", ""Aviation"", ""Career Development""]","[""Accounting"", ""Administrative Support"", ""Analytics"", ""Archives"", ""Aviation"", ""Career Development""]",[],2026-06-05,,,,,,"['Accounting', 'Administrative Support', 'Analytics', 'Archives', 'Aviation', 'Career Development']","['Accounting', 'Administrative Support', 'Analytics', 'Archives', 'Aviation', 'Career Development']",[],,
113273,GIS Analyst,GIS Analyst,Canyon County Sheriff's Office,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,High school diploma or equivalent,Associate's degree,Contract,Unknown,USD 29.73 - 35.29 per HOUR,29.73,35.29,hourly,Idaho,United States,"[""Analytical Thinking"", ""Automation""]","[""Automation""]",[],2026-06-05,,HOUR,61838.4,73403.2,67620.8,"['Analytical Thinking', 'Automation']",['Automation'],[],,
105971,Business Central Functional Analyst,Business Central Functional Analyst,"Infinite Electronics, Inc.",611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Associate's degree,Contract,Unknown,USD 100000 - 140000 per YEAR,100000.0,140000.0,annual,Texas,United States,"[""Business Operations"", ""Business Requirements""]","[""Business Operations"", ""Business Requirements""]",[],2026-06-05,,YEAR,100000.0,140000.0,120000.0,"['Business Operations', 'Business Requirements']","['Business Operations', 'Business Requirements']",[],,
104616,External Elements Aviation/Combined Aviation/Combined Air Operations Center Analyst,External Elements (EXELMS) Aviation/Combined Aviation/Combined Air Operations Center (CAOC) Analyst,Corps Solutions,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Associate's degree,Master's degree,Full Time,On-site,,,,,Virginia,United States,"[""Aviation""]","[""Aviation""]",[],2026-06-05,,,,,,['Aviation'],['Aviation'],[],,
102377,Military Processing Analyst,Military Processing Analyst,Covista,611400,Business Schools and Computer and Management Training,27-2011,Actors,Postsecondary nondegree award,Bachelor's degree,Full Time,Hybrid,USD 17.15 - 27.36 per HOUR,17.15,27.36,hourly,Illinois,United States,"[""Account Reconciliation"", ""Accounts Receivable"", ""Analytical Skills"", ""Billing""]","[""Account Reconciliation"", ""Accounts Receivable"", ""Billing""]",[],2026-06-05,,HOUR,35672.0,56908.799999999996,46290.399999999994,"['Account Reconciliation', 'Accounts Receivable', 'Analytical Skills', 'Billing']","['Account Reconciliation', 'Accounts Receivable', 'Billing']",[],,
102274,Service Desk Analyst,Service Desk Analyst,National Heritage Academies,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Associate's degree,Full Time,Remote,,,,,Michigan,United States,,,,2026-06-05,,,,,,[],[],[],,
97814,Senior Data Scientist - Full Stack,Senior Data Scientist - Full Stack,WM,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,High school diploma or equivalent,Bachelor's degree,Full Time,Hybrid,,,,,Texas,United States,"[""Analytical Skills"", ""Analytics"", ""Applied Mathematics"", ""Business Operations""]","[""Analytics"", ""Applied Mathematics"", ""Business Operations""]",[],2026-06-05,,,,,,"['Analytical Skills', 'Analytics', 'Applied Mathematics', 'Business Operations']","['Analytics', 'Applied Mathematics', 'Business Operations']",[],,
97562,Military Student Finance Analyst,Military Student Finance Analyst,Covista,611400,Business Schools and Computer and Management Training,27-2011,Actors,Postsecondary nondegree award,Bachelor's degree,Full Time,Hybrid,USD 17.15 - 27.36 per HOUR,17.15,27.36,hourly,Illinois,United States,"[""Account Reconciliation"", ""Accounts Receivable"", ""Analytical Skills"", ""Billing""]","[""Account Reconciliation"", ""Accounts Receivable"", ""Billing""]",[],2026-06-05,,HOUR,35672.0,56908.799999999996,46290.399999999994,"['Account Reconciliation', 'Accounts Receivable', 'Analytical Skills', 'Billing']","['Account Reconciliation', 'Accounts Receivable', 'Billing']",[],,
95403,Corporate Compliance Analyst,Corporate Compliance Analyst,D.r. Horton,611400,Business Schools and Computer and Management Training,11-9021,Construction Managers,High school diploma or equivalent,Bachelor's degree,Full Time,Unknown,,,,,Texas,United States,"[""Artificial Intelligence""]","[""Artificial Intelligence""]",[],2026-06-05,,,,,,['Artificial Intelligence'],['Artificial Intelligence'],[],,
91124,Rates and Regulatory Financial Analyst 3,Rates and Regulatory Financial Analyst 3,CoServ,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,High school diploma or equivalent,Master's degree,Full Time,Unknown,,,,,Texas,United States,"[""Accounting"", ""Accounting Software"", ""Business Administration"", ""Business Intelligence""]","[""Accounting"", ""Accounting Software"", ""Business Intelligence""]",[],2026-06-05,,,,,,"['Accounting', 'Accounting Software', 'Business Administration', 'Business Intelligence']","['Accounting', 'Accounting Software', 'Business Intelligence']",[],,
89235,Lead Operations Research Analyst - TS/SCI - CI Poly,Lead Operations Research Analyst - TS/SCI - CI Poly,"Global Dimensions, LLC",611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Bachelor's degree,Bachelor's degree,Full Time,Unknown,,,,,District of Columbia,United States,"[""Analytical Techniques""]","[""Analytical Techniques""]",[],2026-06-05,,,,,,['Analytical Techniques'],['Analytical Techniques'],[],,
89128,Operations Research Analyst - TS/SCI,Operations Research Analyst - TS/SCI,"Global Dimensions, LLC",611400,Business Schools and Computer and Management Training,15-2031,Operations Research Analysts,Bachelor's degree,Bachelor's degree,Full Time,Unknown,,,,,District of Columbia,United States,"[""Analytical Techniques""]","[""Analytical Techniques""]",[],2026-06-05,,,,,,['Analytical Techniques'],['Analytical Techniques'],[],,
400157,"Vice President, Business Analyst - Capital Markets Operations","Vice President, Business Analyst - Capital Markets Operations",CréDit Agricole CIB,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Associate's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': 'YEAR', 'summary': ''}",,,annual,New York,New York,"[""Business Requirements"", ""Capital Markets""]","[""Business Requirements"", ""Capital Markets""]",[],2026-06-05,,YEAR,,,,"['Business Requirements', 'Capital Markets']","['Business Requirements', 'Capital Markets']",[],,New York
215660,Senior Data Scientist,Senior Data Scientist (Operations),Function,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,Full Time,Remote,,,,,,,"[""Analytics"", ""Bioinformatics"", ""Biostatistics""]","[""Analytics"", ""Bioinformatics"", ""Biostatistics""]",[],2026-06-06,,,,,,"['Analytics', 'Bioinformatics', 'Biostatistics']","['Analytics', 'Bioinformatics', 'Biostatistics']",[],,
399581,Lead Analyst of Advanced Analytics,Lead Analyst of Advanced Analytics,Airbnb,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Doctoral or professional degree,Full Time,Unknown,"USD 164,000 - 191,000 Yearly",164000.0,191000.0,annual,,,"[""Acting"", ""Advanced Analytics"", ""Airflow"", ""Analytics"", ""Business Analytics"", ""Causal Inference""]","[""Acting"", ""Advanced Analytics"", ""Airflow"", ""Analytics"", ""Business Analytics"", ""Causal Inference""]",[],2026-06-06,,YEAR,164000.0,191000.0,177500.0,"['Acting', 'Advanced Analytics', 'Airflow', 'Analytics', 'Business Analytics', 'Causal Inference']","['Acting', 'Advanced Analytics', 'Airflow', 'Analytics', 'Business Analytics', 'Causal Inference']",[],,
399502,Staff Data Scientist,Staff Data Scientist (Product Analytics),Function,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Associate's degree,Full Time,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': 'YEAR', 'summary': ''}",,,annual,,,"[""Analytics"", ""Bioinformatics"", ""Biostatistics""]","[""Analytics"", ""Bioinformatics"", ""Biostatistics""]",[],2026-06-06,,YEAR,,,,"['Analytics', 'Bioinformatics', 'Biostatistics']","['Analytics', 'Bioinformatics', 'Biostatistics']",[],,
395924,Corp Bankng Credit Analyst I,Corp Bankng Credit Analyst I,Hcgn.fa.us2.oraclecloud.com,611400,Business Schools and Computer and Management Training,13-2041,Credit Analysts,Associate's degree,Bachelor's degree,,Unknown,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summary': ''}",,,,,,"[""Account Management"", ""Banking"", ""Banking Administration""]","[""Account Management"", ""Banking"", ""Banking Administration""]",[],2026-06-08,,,,,,"['Account Management', 'Banking', 'Banking Administration']","['Account Management', 'Banking', 'Banking Administration']",[],,
73882,FINANCIAL MANAGEMENT ANALYST,FINANCIAL MANAGEMENT ANALYST,U.S. Marine Corps,611400,Business Schools and Computer and Management Training,13-1111,Management Analysts,Associate's degree,Doctoral or professional degree,,Unknown,Per Year,,,annual,Marine Corps Air Station Miramar,California,,,,2026-04-24,2027-04-23,YEAR,,,,[],[],[],2027-04-23,California
187499,Senior Human Resources Analyst - Training and Development Coordinator,Senior Human Resources Analyst - Training and Development Coordinator,MRA Recruiting Services,611400,Business Schools and Computer and Management Training,13-1082,Project Management Specialists,Postsecondary nondegree award,Master's degree,Full Time,On-site,,,,,WI,United States,"[""Adult Learning Principles""]","[""Adult Learning Principles""]",[],2026-05-07,,,,,,['Adult Learning Principles'],['Adult Learning Principles'],[],,
3290,Online Visiting Professor of Data Analytics,Online Visiting Professor of Data Analytics,DeVry University & Its Keller Graduate School Of Management International,611400,Business Schools and Computer and Management Training,15-2051,Data Scientists,Associate's degree,Doctoral or professional degree,"Part Time, Temporary",Remote,$22.00 - $23.50 an hour,22.0,23.5,hourly,,,"[""Analytics"", ""Business Intelligence""]","[""Analytics"", ""Business Intelligence""]",[],2026-05-15,,HOUR,45760.0,48880.0,47320.0,"['Analytics', 'Business Intelligence']","['Analytics', 'Business Intelligence']",[],,
